year,Bucks,Trafford,Kent,Medway,Southend,Torbay,Wirral,Sutton,Slough,Lincs,Bexley
2014,38.40028439388553,39.982852243498144,29.990579009013597,28.621119642974342,28.70520783564262,29.432063263838966,27.659327925840095,28.410678826211665,33.13673567645643,24.199730653682792,23.6561153774115
2015,38.17107265456347,39.846605978066094,30.376237623762375,28.774853993044164,29.650376666022794,29.938988959907032,27.91215226939971,28.954658113427612,32.17289719626169,25.053831206344206,23.981191222570533
2016,38.37826512082693,40.10957734452825,31.00201576892654,29.12685337726524,30.582010582010582,30.65948464114136,28.324849335907786,29.23442221902432,30.66233329597669,25.82621611585592,24.27960236567258
2017,38.52954380633353,39.44228540260449,31.549836467186097,29.580791182838023,31.476376081376557,31.10410998138336,28.796603268772174,29.346003353828955,29.655172413793103,26.05637527103496,24.464084242196314
2018,38.405426594402975,38.856954079947144,31.90208320454967,30.162991371045063,32.14420180722892,31.375579598145286,28.835521769177607,29.531484769840187,28.782475802343356,25.94619956208946,24.888273431107194
2019,38.091908091908095,38.39589348732756,32.04192265992049,30.44181705040448,32.527128931395985,31.033080260303684,28.848423537346147,29.094870271340863,27.61087267525036,26.182755891439225,24.72578546198178
2020,37.64498892219471,38.066900526183915,31.911484344846137,30.893518799732732,32.268198545911496,30.65300223360925,28.91699342795604,28.383279251765604,27.039126152744203,26.137470954201337,24.78485370051635
2021,37.44107744107744,37.46852545599705,31.654709030862087,30.97490744549568,31.54121863799283,30.05174644243208,28.612544121639967,27.80388277482379,26.571330707312896,25.731066004816434,24.990796416738252
2022,36.84194013929849,36.4647861911349,31.351423398607146,30.75525269733106,30.6025325061613,29.773628341220103,28.21787470600812,27.098060540148634,26.39187179910788,25.23952455276744,25.00769941484447
