,2014,2015,2016,2017,2018,2019,2020,2021,2022
gram_FSM,2.7662741913655435,2.7048432130584192,2.683608372436337,2.6901956740312976,2.68319413476437,3.291614979304585,3.9235497179422416,5.088611203496935,5.8310857762021975
lea_FSM,11.647546788062721,11.192839310722768,10.33199875313235,10.161725606221138,9.948393932853246,11.49827648142345,13.17531099481117,16.227618364680062,18.393582301502278
national,15.705185305555327,14.863332489625952,14.066267324809045,13.726570343212066,13.241965399644656,14.92380340941729,16.892192733496397,20.078789033822712,22.2465155491718
